#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1966.20   -0.117177    0.001000    0.059649    0.001000  -4.5401932   0.0001000    0.058742    0.002514    0.005957    0.001000
   1966.25   -0.141818    0.001000    0.092509    0.001000  -4.5907000   0.0001000    0.060708    0.002514    0.005029    0.001000
   1966.30   -0.161451    0.001000    0.131578    0.001000  -4.6432835   0.0001000    0.060553    0.002514    0.005488    0.001000
   1966.35   -0.164821    0.001000    0.165397    0.001000  -4.6953120   0.0001000    0.060333    0.002514    0.004559    0.001000
   1966.40   -0.150697    0.001000    0.196717    0.001000  -4.7421018   0.0001000    0.060080    0.002514    0.004008    0.001000
   1966.45   -0.130014    0.001000    0.238130    0.001000  -4.7819556   0.0001000    0.057574    0.002514    0.004913    0.001000
   1966.50   -0.108329    0.001000    0.282496    0.001000  -4.8181023   0.0001000    0.055053    0.002514    0.004673    0.001000
   1966.55   -0.082491    0.001000    0.311535    0.001000  -4.8479727   0.0001000    0.052729    0.002514    0.004595    0.001000
   1966.60   -0.052871    0.001000    0.327780    0.001000  -4.8799022   0.0001000    0.050859    0.002514    0.005273    0.001000
   1966.65   -0.021757    0.001000    0.335965    0.001000  -4.9181746   0.0001000    0.048045    0.002514    0.004537    0.001000
   1966.70    0.010512    0.001000    0.331069    0.001000  -4.9609172   0.0001000    0.049406    0.002514    0.005501    0.001000
   1966.75    0.046274    0.001000    0.313186    0.001000  -5.0080181   0.0001000    0.049879    0.002514    0.005760    0.001000
   1966.80    0.079473    0.001000    0.285958    0.001000  -5.0576389   0.0001000    0.050755    0.002514    0.005782    0.001000
   1966.85    0.102956    0.001000    0.250271    0.001000  -5.1091817   0.0001000    0.054416    0.002514    0.006931    0.001000
   1966.90    0.121443    0.001000    0.210120    0.001000  -5.1598299   0.0001000    0.054439    0.002514    0.008494    0.001000
   1966.95    0.124926    0.001000    0.179742    0.001000  -5.2064009   0.0001000    0.055774    0.002514    0.008337    0.001000
   1967.00    0.099884    0.001000    0.165697    0.001000  -5.2490670   0.0001000    0.057331    0.002514    0.008716    0.001000
   1967.05    0.063233    0.001000    0.158006    0.001000  -5.2886348   0.0001000    0.056927    0.002514    0.009035    0.001000
   1967.10    0.037184    0.001000    0.152011    0.001000  -5.3321455   0.0001000    0.056968    0.002514    0.008256    0.001000
   1967.15    0.023843    0.001000    0.147007    0.001000  -5.3796356   0.0001000    0.058367    0.002514    0.006885    0.001000
   1967.20    0.014867    0.001000    0.139698    0.001000  -5.4287940   0.0001000    0.058890    0.002514    0.006829    0.001000
   1967.25    0.005279    0.001000    0.138532    0.001000  -5.4786871   0.0001000    0.059281    0.002514    0.004895    0.001000
   1967.30   -0.005124    0.001000    0.146920    0.001000  -5.5316540   0.0001000    0.060820    0.002514    0.004054    0.001000
   1967.35   -0.009748    0.001000    0.153983    0.001000  -5.5837606   0.0001000    0.059732    0.002514    0.004977    0.001000
   1967.40   -0.005766    0.001000    0.156673    0.001000  -5.6312372   0.0001000    0.058926    0.002514    0.004031    0.001000
   1967.45   -0.002270    0.001000    0.162391    0.001000  -5.6692381   0.0001000    0.057409    0.002514    0.004154    0.001000
   1967.50   -0.004830    0.001000    0.175389    0.001000  -5.7022270   0.0001000    0.053822    0.002514    0.005226    0.001000
   1967.55   -0.008807    0.001000    0.186401    0.001000  -5.7324128   0.0001000    0.051220    0.002514    0.004657    0.001000
   1967.60   -0.011346    0.001000    0.189758    0.001000  -5.7628855   0.0001000    0.049541    0.002514    0.004781    0.001000
   1967.65   -0.015407    0.001000    0.189087    0.001000  -5.7976727   0.0001000    0.047814    0.002514    0.005157    0.001000
   1967.70   -0.024647    0.001000    0.187952    0.001000  -5.8334962   0.0001000    0.047139    0.002514    0.004760    0.001000
   1967.75   -0.031564    0.001000    0.188883    0.001000  -5.8745303   0.0001000    0.049200    0.002514    0.005566    0.001000
   1967.80   -0.032540    0.001000    0.195250    0.001000  -5.9194414   0.0001000    0.050442    0.002514    0.006087    0.001000
   1967.85   -0.030499    0.001000    0.203517    0.001000  -5.9686271   0.0001000    0.051890    0.002514    0.006236    0.001000
   1967.90   -0.028349    0.001000    0.212332    0.001000  -6.0172984   0.0001000    0.055262    0.002514    0.007241    0.001000
   1967.95   -0.028981    0.001000    0.225906    0.001000  -6.0649653   0.0001000    0.054832    0.002514    0.008596    0.001000
