#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1909.25   -0.111941    0.020247    0.334548    0.014933   0.0000202   0.0000000    0.229254    0.000000    0.019067    0.000000
   1909.30   -0.048958    0.016905    0.365478    0.016357  -0.0001076   0.0000000    0.228697    0.000000    0.018541    0.000000
   1909.35    0.031692    0.016584    0.354424    0.015838  -0.0000930   0.0000000    0.228695    0.000000    0.018113    0.000000
   1909.40    0.150595    0.017709    0.322941    0.018761   0.0001130   0.0000000    0.227936    0.000000    0.018012    0.000000
   1909.45    0.204029    0.015506    0.289766    0.016422  -0.0000053   0.0000000    0.225419    0.000000    0.018767    0.000000
   1909.50    0.260655    0.016205    0.206515    0.015492  -0.0000185   0.0000000    0.221845    0.000000    0.018510    0.000000
   1909.55    0.287898    0.013784    0.107862    0.015220   0.0000061   0.0000000    0.220089    0.000000    0.018414    0.000000
   1909.60    0.317581    0.014360    0.078606    0.016301   0.0001621   0.0000000    0.217528    0.000000    0.018374    0.000000
   1909.65    0.297761    0.015999   -0.000284    0.016577  -0.0002128   0.0000000    0.215686    0.000000    0.018522    0.000000
   1909.70    0.230407    0.020039   -0.081257    0.016229   0.0000258   0.0000000    0.216886    0.000000    0.019066    0.000000
   1909.75    0.189479    0.017806   -0.138556    0.014602   0.0001553   0.0000000    0.217593    0.000000    0.019397    0.000000
   1909.80    0.086776    0.016815   -0.191990    0.016190  -0.0002165   0.0000000    0.219223    0.000000    0.019861    0.000000
   1909.85    0.011912    0.025070   -0.230823    0.018878   0.0002169   0.0000000    0.221710    0.000000    0.021253    0.000000
   1909.90   -0.099788    0.019577   -0.198957    0.015513   0.0000863   0.0000000    0.222673    0.000000    0.022217    0.000000
   1909.95   -0.183707    0.019612   -0.173265    0.021470  -0.0000859   0.0000000    0.223971    0.000000    0.022343    0.000000
   1910.00   -0.230038    0.017877   -0.132304    0.023838   0.0001279   0.0000000    0.225636    0.000000    0.022744    0.000000
   1910.05   -0.309175    0.024311   -0.077642    0.022971   0.0000047   0.0000000    0.224852    0.000000    0.022918    0.000000
   1910.10   -0.333688    0.029343   -0.017770    0.021879  -0.0001290   0.0000000    0.224995    0.000000    0.021981    0.000000
   1910.15   -0.330166    0.018663    0.093110    0.021548   0.0000706   0.0000000    0.226264    0.000000    0.021280    0.000000
   1910.20   -0.355126    0.020048    0.105078    0.017372   0.0001197   0.0000000    0.226241    0.000000    0.020235    0.000000
   1910.25   -0.347406    0.018225    0.227520    0.020894  -0.0002422   0.0000000    0.227662    0.000000    0.019131    0.000000
   1910.30   -0.310530    0.015630    0.324039    0.017846   0.0001375   0.0000000    0.228755    0.000000    0.018832    0.000000
   1910.35   -0.214829    0.017834    0.362053    0.017193   0.0000193   0.0000000    0.227302    0.000000    0.018792    0.000000
   1910.40   -0.110896    0.024322    0.383629    0.022446  -0.0002344   0.0000000    0.227052    0.000000    0.018087    0.000000
   1910.45   -0.041878    0.017915    0.411872    0.019909   0.0001276   0.0000000    0.225142    0.000000    0.018525    0.000000
   1910.50    0.080217    0.014924    0.428810    0.018869  -0.0000377   0.0000000    0.221918    0.000000    0.019209    0.000000
   1910.55    0.180632    0.015936    0.392697    0.016703  -0.0000983   0.0000000    0.218902    0.000000    0.018464    0.000000
   1910.60    0.248578    0.015727    0.340632    0.017805   0.0000476   0.0000000    0.217564    0.000000    0.019081    0.000000
   1910.65    0.297464    0.022576    0.263096    0.020177   0.0000124   0.0000000    0.215739    0.000000    0.018825    0.000000
   1910.70    0.312798    0.016754    0.157796    0.017287  -0.0001466   0.0000000    0.215714    0.000000    0.019024    0.000000
   1910.75    0.310360    0.016243    0.055452    0.017011   0.0000873   0.0000000    0.217351    0.000000    0.020029    0.000000
   1910.80    0.286656    0.016681   -0.049531    0.015753   0.0000514   0.0000000    0.218831    0.000000    0.020223    0.000000
   1910.85    0.216446    0.020002   -0.064790    0.020207  -0.0003172   0.0000000    0.220923    0.000000    0.020601    0.000000
   1910.90    0.179182    0.022273   -0.136449    0.023701   0.0001895   0.0000000    0.222974    0.000000    0.022294    0.000000
   1910.95    0.072743    0.024667   -0.192515    0.021648  -0.0000960   0.0000000    0.223242    0.000000    0.023058    0.000000
   1911.00    0.002046    0.025931   -0.195269    0.027222  -0.0001416   0.0000000    0.224304    0.000000    0.022544    0.000000
   1911.05   -0.135736    0.022576   -0.169051    0.026698   0.0001847   0.0000000    0.225198    0.000000    0.023037    0.000000
